FEN: rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR, Games: 176, Wins: 83, Losses: 82, Draws: 11
FEN: rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR, Games: 8, Wins: 3, Losses: 5, Draws: 0
FEN: rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR, Games: 8, Wins: 3, Losses: 5, Draws: 0
FEN: rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR, Games: 7, Wins: 3, Losses: 4, Draws: 0
FEN: rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5P2/PPP3PP/RNBQKBNR, Games: 2, Wins: 0, Losses: 2, Draws: 0
FEN: rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/5P2/PPP3PP/RNBQKBNR, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: rnbqkb1r/pp2pppp/2pp1n2/8/2PPP3/5P2/PP4PP/RNBQKBNR, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqkb1r/pp1npppp/2pp1n2/8/2PPP3/5P2/PP4PP/RNBQKBNR, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqkb1r/pp1npppp/2pp1n2/8/2PPP3/2N2P2/PP4PP/R1BQKBNR, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqkb1r/pp1n1ppp/2pp1n2/4p3/2PPP3/2N2P2/PP4PP/R1BQKBNR, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1bqkb1r/pp1n1ppp/2pp1n2/3Pp3/2P1P3/2N2P2/PP4PP/R1BQKBNR, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1kb1r/ppqn1ppp/2pp1n2/3Pp3/2P1P3/2N2P2/PP4PP/R1BQKBNR, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1kb1r/ppqn1ppp/2pp1n2/3Pp3/2P1P3/2N2P2/PP2N1PP/R1BQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1k2r/ppqnbppp/2pp1n2/3Pp3/2P1P3/2N2P2/PP2N1PP/R1BQKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
FEN: r1b1k2r/ppqnbppp/2pp1n2/3Pp3/2P1P3/2N1BP2/PP2N1PP/R2QKB1R, Games: 1, Wins: 0, Losses: 1, Draws: 0
