Title,Date,Time,Event Format,Location,URL
BBQ and Blitz minus Blitz (food only),"Friday, November 7, 2025",Not found,Not found,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1435/bbq-and-blitz-minus-blitz-food-only
Big Money Blitz (unrated),"Friday, October 10, 2025","7:45pm first round, rest ASAP",6SS,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1412/big-money-blitz-unrated
Big Money Swiss,"Saturday, November 22, 2025","9:30am, 12:30pm, 3:00pm, last round starts immediately after 3rd Round",4SS,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1414/big-money-swiss
October Tuesday Night Swiss (OTB),"Tuesdays, October 7, 14, 21, and 28",7:15pm,4SS,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1413/october-tuesday-night-swiss-otb
Unrated Friday Night Blitz,"Friday, October 3, 2025","7:45pm first round, rest ASAP",6SS,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1423/unrated-friday-night-blitz
November Quads,"Saturday, November 1, 2025","10:00am, 1:15pm, 3:45pm",3RR,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1428/november-quads
November Scholastics,"Sunday, November 16, 2025","2:00pm, 3:15pm, 4:30pm, 5:45pm or ASAP",4SS,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1431/november-scholastics
Boston Queens Series - Event 3 Thanksgiving,"Sunday, November 23, 2025",Starts at 2:30 pm,Rapid and puzzle solving,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1388/boston-queens-series-event-3-thanksgiving
Early Autumn Six-Week Swiss Online,"Tuesday, September 16, 2025",Tuesday at 6:30 PM unless two players agree to reschedule,"6SS or Double Quad, 1 lichess game per Tuesday night",Online,https://boylstonchess.org/events/1405/early-autumn-six-week-swiss-online
September Scholastics,"Sunday, September 28, 2025","2:00pm, 3:15pm, 4:30pm, 5:45pm or ASAP",4SS,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1406/september-scholastics
Fall Foliage Open,"Saturday, October 18, 2025","9:30am, 12:30pm, 3:00pm, last round starts immediately after 3rd Round",4SS,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1425/fall-foliage-open
Fall Festival - U1500 Discounted Entry,"Saturday, October 11, 2025",Not found,Not found,"35 Kingston St. Unit 1, Boston, MA 02111",https://boylstonchess.org/events/1409/fall-festival-u1500-discounted-entry
