username,name,blitz_rating,time_control
0zyxyz0,,2135,3+0
107degrees,,2311,5+0
123456789010chess,David Schabert,2739,3+0
190l,,2233,3+0
1d4_1-0,Jason Metpally,2380,3+0
1g41-0,,2723,3+2
2012vachamp,Justin B Burgess,2444,5+0
2good4u734,,2450,3+0
2l8iwun69,Rithwik Mathur,2294,3+2
2tilted,,2482,3+0
3ke31-0,Vishva Nanugonda,2582,5+0
3ptdka,Ziwen Zhou,2806,3+0
64life,Mark Stephens,1908,600
6foot7foot,Lihong Tang,2464,3+0
84yormphaplau18,,2322,3+0
911master,Tom Shih,1932,5+0
94hawkeye,,1776,3+2
a-shu,Anshul Shetty,2495,3+2
a4ra3-bestopening,,2000,3+0
aaronmaster123,Aaron Balleisen,2341,3+0
abarsticant,Antony Gospodinov,2321,5+0
abc13524,Esther Jou,2305,3+0
abcedarian,Charles Wynn,2126,3+0
ace_mar,Ashton Jin,2700,3+0
ad0406,Adhvaith Rajanish,2376,3+0
adaar,Scott A. Roods,1951,3+2
adarshisme,Adarsh Hullahalli,2067,3+2
adnair,Advait Shankar Nair,2495,3+0
aemulus20,Graham Horobetz,2740,3+0
agent-jl,Justin Liang,2723,3+0
agent_jl,Justin Liang,2802,3+0
agrubix18,,2194,3+2
aicrossover,,2391,3+0
ailopatricaliy,Austin Liu,2326,3+0
akdog3,Bill McGeary,2229,3+0
akshatj101,Akshat Jain,2043,3+0
alanzhang,Alan Zhang,2227,5+0
albertiny1,Alberto Hernandez,2097,3+0
albertliang01,Albert Liang,2118,5+0
albertoarnedo,Alberto Arnedo Ruiz,2332,3+0
alechess1351,Alec Aimdilokwong,2758,5+0
alekhinesbeef,,2639,3+0
alex_c31,Alexander J Crump,2721,3+0
alex_zapata,Alex Zapata,2420,3+0
alexanderjasinski,Alexander Jasinski,2733,3+0
alexcn1,,2054,3+0
alexm42100,Alex Moore,2371,3+0
alexthechess,Alex Steinberg,1595,300+5
alikfish,Albert Fishman,2331,3+0
alivehula8,Luke Ye,2339,3+2
alkaline1,,1972,3+0
allderdice,,2134,5+0
allenbecker,Allen Becker,2062,3+0
alphabroker,Robert Fischer,2183,5+0
alphazero_stockfish,,2598,3+0
alpsank,Sankalp Modwal,2319,3+0
amazingoid,Brandon Ashe,2347,3+0
anaiy,Anaiy Somalwar,2353,3+0
analterego,,2630,3+0
andrewhoy,Andrew Hoy,2575,3+0
andrewjsacks,Andrew Sacks,1854,3+0
andy07670,Andrew Lerner,2406,3+0
angryweasel,Donny Gray,2300,5+0
anhao,Andrew Liu,2915,3+0
annalytical,Anna Matlin,2078,3+2
ano89273,,2410,3+0
anonymousant06,,2326,3+0
anonymousbread,Vinesh Ravuri,2694,3+0
anthonylevin,Anthony Levin,2304,3+0
aqmarkin,Arden Markin,2477,3+0
aragorn_ii_twitch,,2567,3+0
arbrespourpres,,1943,3+2
arm_day,Matthew Shuben,2508,3+0
arsal,Arsal Gardezi,2404,3+0
artemykhan,Artemii Khanbutaev,2770,3+0
arthasxx29,Roman Rychkov,2525,3+0
artistocataki,,2667,3+0
artofdeception,,2555,3+0
ashookk,Ashok Ramadoss,2384,3+0
asinnott1,Alex Sinnott,2510,3+0
at_chess26,Amogh Tripathi,1899,3+0
athlblue,Steve Wongso,2529,3+2
atrophiedcrazyhouse,,2349,3+0
austinjiang,Austin Jiang,2301,5+0
avocadosheena,,2161,3+0
awesomeidiot,Adithya Bala,2456,3+0
axelmuller,Axel Muller,1940,3+2
ayrtontwigg,Ionatan Giurgiu,2247,3+0
b_6,Matt Zavortink,2604,3+2
bab3s,Alex Richter,2519,3+0
babyboss31,Rohun Trakru,2724,3+0
babydragonking,,2321,5+0
babyemu,,2084,3+0
babyfacedassasin,Gordon McNeill,2424,3+0
backwardatedpawn,Cale McCormick,2473,3+0
bambi2006,,2539,180+1
bamonson,Bruce Monson,2482,3+0
baws_jaws,Ricky Wang,2231,3+2
beastfromweast,Michael Isakov,2496,3+0
bedpan2300,Michael David Gold,2328,5+0
bekkedahl,Zach Bekkedahl,2337,5+0
belakis,Lorand Bela Kis,2356,3+0
believethebest,Wesley Luo,2535,3+0
bennybear,Ben Marmont,2441,3+0
bennyficial,Ben Johnson,2243,3+2
bgoldchess,Brian Goldstein,2305,5+0
bhima2,,2373,3+0
big_finky,,2475,3+0
bigc08,Chris Yang,2480,3+0
bigjmn,Jesse Nicholas,1931,3+2
bigmanevan,Evan Yin,2638,3+0
bigpiano,Eshan Guha,2652,3+0
bikingbrian,,2306,3+0
blackbearcsw,Chris Welcome,2119,5+0
blackberryangel,,2053,3+2
blackknight2278,Barry Davis,1932,5+0
blacquiao,Jehron Bryant,2502,5+0
blakeybchess,Blake Baumgartner,2176,3+0
blindfoldedguy1,Kevin Qin,2340,3+0
blindlogoczar,Elijah Logozar,1368,3+0
blitz,Noah Ward,2504,180+1
blitzcopter,Beilin Li,2334,300+5
blueryder,Stephen Capp,2187,5+0
bobbysgrills,,2330,3+0
bobbysteen89,Bobby Steen,2279,3+0
bobohead,,1917,3+0
bobsacit,James Stephen Cates,2299,3+2
bobthebuilderpviaowr,,2416,3+0
boilingfrog,Ron Bruno,2403,3+0
bonesy1116,,2405,3+0
bonk28,,2262,3+0
bootstar,Greg B,2597,3+0
boratchessontwitch,Andrew James Fletcher,2500,3+0
boredoldman,Tom C,2516,3+0
bostrom,Niels Bostrom,2335,3+0
botezsistersfan77,,2609,3+0
bowersock,Michael Bowersock,2478,3+0
bpovo1394,Braydon Povinelli,2218,5+0
brainwave_x9,Tarun Sankar,2376,3+0
bravehorse,Andrew Zheng,2737,3+0
brianwall,Brian Wall,2311,3+0
brilliancy-13,,2363,3+0
brjad0530,Benjamin J Katz,2301,3+0
broderickbauml,Broderick Bauml,2629,3+0
bronceysueno,,2557,3+0
browncow28,Franco Jose,1683,3+0
brutalis,Mark Kurtzman,2521,3+0
bryanthebutcher,Bryan Shapiro,2326,3+0
buckeye22,John Bath,2132,3+2
budda,John Williams,2482,180+1
bulletcloud,Harshin Reddy Jagirapu,2726,3+2
bullycloud,Roshan Sethuraman,2706,3+0
bupox,,2466,3+0
bvsn,Matan Prilleltensky,2517,3+2
bwalmer,Benjamin Walmer,2163,3+0
bxscinm,,2319,3+0
callwithacehigh,Warren Wang,2513,3+2
canairez,Noah Siegel,2503,3+0
captainchrush,,2070,5+0
carlmagnuson,Carl Magnuson,2331,3+0
caroinferno,Josh Bousum,2111,3+2
carolina-moon,Randal Ferguson,2005,3+0
casestudy25,,2255,5+0
casualplayer124,,2224,5+0
catkeson,Chris Atkeson,2570,3+0
cavschess2,Craig Jones,2159,3+2
ccdk,Eric Dong,2200,3+2
cchoww,,2459,3+0
cephalopod11,Maxwell Schwartz,2207,3+2
cfalcons8,Evan Ai,2531,3+0
chadbiryani,Aakaash Meduri,2551,3+0
chakmatd,,2066,3+0
chakraborty-arz,Dipro Chakraborty,2741,3+2
challengerii,Chaos,2439,3+0
championnn-9,David Gasparyan,2719,3+0
chawitap,Chawit Asavasaetakul,2399,3+0
cheerfuldragon100,,2174,3+2
chenmaster,Jacob Chen,2376,5+0
chesmon,,2338,5+0
chess13524678,Andrew Wu,2760,3+0
chess2smart,Saharsh Santosh,2589,3+0
chess4life23,Ben Bailey,2358,3+0
chess50years,Jim Blackwood,2072,3+2
chess_gainz,Max Farberov,2730,5+0
chess_rehab,Robert Plunkett,2411,3+0
chess_star1234,Aryan Achuthan,2687,3+0
chesscenterofficial,Christopher Toolin,2630,180+1
chesscoadch,Ruben Dario Briceno Quinones,2375,5+0
chessdeep2017,Atul Kannan,2139,3+0
chessdoofus,Dennis Norman,2326,3+0
chessdryad,Kerry Lawless,1757,300+5
chesselephant,Daniel Yedidia,2617,3+0
chessforthesun,Rick Sun,2550,3+0
chessgiantyoutube,Solomon Ruddell,2537,5+2
chessgpt2114,Zachary Pan,2441,3+0
chesshippopotamus15,Aayansh Samanta,2244,5+0
chesshoudini,,2394,5+0
chessifizer,Jose Gabriel Casares Contreras,2484,3+0
chessmasterjblack,James Black,2470,3+0
chessmateto,Vikram Rajmohan,2469,3+0
chessmavenyeti,Luke Calhoun,2390,3+0
chessmoo,Nickolas Moore,2514,180+1
chessnetwork,Jerry,2753,3+0
chessninja48,Bryan Hu,2465,3+0
chesspanda,Jeff Ashton,2123,3+2
chesspilot01,Pranav Sairam,2596,3+2
chessplant300,Aaron Wang,2493,3+0
chessrevelation,Wesley Falcao,2650,60+7
chesssavvy,Noah Keating-Adams,2311,3+0
chesssteakjimmmy,,2603,3+0
chesstatour,,2201,3+0
chesstrail,Chess Assassin,2477,3+0
chessvedant09,Vedant Maheshwari,2056,3+0
chesswarrior8688,,2412,3+0
chessweb101,Dex Webster,2607,3+0
chesswooog,,2482,3+0
chessworks64,Irvin Gomez,2199,3+0
chessyinstinct,,2341,3+0
chezhoosier,Timothy Hernly,1921,5+0
chippyslickster,,2781,3+0
chmaster15,Elliott Neff,2303,3+2
chopotin,Leonardo Martinez,2482,3+0
chosencheese,Alexander Heimann,2724,3+0
